Originalnummer	Stichworte	A-Nummern	Buch	PostkartenNr
4252	Typisch Schütze	4252
4251	Check Airbag	4251
4250	Freitag der dreizehnte	4250
4249	Fjordgedichte	4249
4248	Sake Mol	4248
4247	Wecker für Autofahrer	4247
4246	Mein Freund will immer nur Sex	4246
4245	die Zahlen aus Österreich und der Schweiz	4245
4244	Nachdem er eine Zeitmaschine erfunden hatte	4244
4243	Chow-Chow	4243
4242	Witzfigur	4242
4241	Warum zur Hölle hat dieser Wagen ein E-Kennzeichen?	4241
4240	Ich habe den größten	4240
4239	Bahnhofsbuchhandlung	4239
4238	Die Harley unter den Kühlschränken	4238
4237	Außer Beck natürlich	4237
4236	Weihnachtsgeschenk für Polizisten	4236
4235	Ich finde dich perfekt, so wie du bist	4235
4234	stets das aktuelle Verkehrsgeschehen im Blick.	4234
4233	Ich kann Ihnen Ihre Zeitung in einen Fisch einwickeln	4233
4232	Banknoten an Gott glauben	4232
4231	Er ist Teilatheist	4231
4230	In god we trump	4230
4229	Ich bin für Trump	4229
4228	Schweizer Dildo	4228
4227	öme	4227
4226	Treppenlifte waren gestern	4226
4225	Digitaluhr	4225
4224	Soll ich Ihnen eine Decke bringen?	4224
4223	Doch, du hast Kopfschmerzen	4223
4222	Dreier mit Wespe	4222
4221	Für Kinder, die nicht brav waren	4221
4220	und einen großen Eimer Wasser	4220
4219	Aktivurlaub in einem Antiquariat gebucht	4219
4218	Popel	4218
4217	Zu weite Hosen	4217
4216	Herbst in Deutschland	4216
4215	Unser heiliger allmächtiger Algorithmus	4215
4214	Kradmelder	4214
4213	Der Gartenschläfer	4213
4212	In die USA? Nie gehört.	4212
4211	Die Fruchtfliege	4211
4210	Das ist nicht das Blut Christi	4210
4209	Quariat	4209
4208	Brieföffner/Brieföffnerin	4208
4207	Warum tragen Sie auch keinen Mundschutz?	4207
4206	Das ist keine Coke Zero	4206
4205	Dooring	4205
4204	Holzei oder Eierklappe?	4204
4203	Elektroautos	4203
4202	fühlte sich Torben-Leander als Kaffeevollautomat.	4202
4201	Für Baken haben wir hier keinen Platz	4201
4200	wer das Vermögen von Uli Stein geerbt hat.	4200
4199	Warum bedeckt das Fliegengitter das Fenster nur zur Hälfte?	4199
4198	nicht als Menstruierende bezeichnet.	4198
4197	Die erste Morddrohung aus Irland	4197
4196	Ich muss nach Berlin	4196
4195	Warum postest du nichts auf Instagram?	4195
4194	Sonntags auf der Autobahn	4194
4193	Die kleinen Fische	4193
4192	Das Sondermodell Marc Bolan	4192
4191	Zwangsjacke aus Schurwolle	4191
4190	unser Schauspielhaus in die Luft gejagt.	4190
4189	Krebsfreier Cartoon	4189
4188	Einen Cartoon über Corona gemacht	4188
4187	Switcher	4187
4186	Frauen haben eine ganz subtile Art	4186
4185	weil sie jeder für den Weihnachtsmann hält	4185
4184	Den Rubik-Würfel mit der Zunge lösen	4184
4183	Wird oft zusammen gekauft	4183
4182	Der junge Heisenberg	4182
4181	Mein Fuchs ist in der Reinigung	4181
4180	Menschen, welche Gabionen schön finden	4180
4179	52 Shades of grey	4179
4178	Die Autobahn war  ne Scheißidee	4178
4177	Du Hengst	4177
4176	Hast du Zeit zum Chatten?	4176
4175	Ich wiege	4175
4174	Die hlg. Oma	4174
4173	Spargelstecher von Szczecin	4173
4172	Waschgel	4172
4171	Die schärfste Frau zwischen den Polen	4171
4170	Lamberth	4170
4169	Wutbürger sehr leicht erregbar	4169
4168	Ih bäh	4168
4167	Uppsie	4167
4166	Kerosinbrand	4166
4165	Kochen mit Walfleisch	4165
4164	Sorry, Halteverbot	4164
4163	Wenn Männer etwas begriffsstutzig sind	4163
4162	Jahresabschlusscartoon	4162
4161	Zum Blues auf eins und drei geklatscht	4161
4160	Die Stringtanga-Theorie	4160
4159	Sie stehen auf einem Wunschzettel	4159
4158	Einhorn und Schneemensch	4158
4157	Ein Fass Schweröl im Garten verbrennen	4157
4156	Ich dachte, Free Willy wäre ein Kinderfilm	4156
4155	Resignierstunde	4155
4154	Passiert öfter, als man denkt	4154
4153	Stuhlprobe aus der Mittelwurst	4153
4152	Greis 1/2	4152
4151	Ein klassischer Fall für Captain Fremdschäm	4151
4150	Unsere alte Wurstschneidemaschine	4150
4149	Inverser Bocksprung	4149
4148	Flatulenzabgabe	4148
4147	Engel auf Toilette	4147
4146	Endlife-Crisis	4146
4145	mit der sich Frau Blaghuhn identifizieren kann.	4145
4144	Nadia hat den therapeutischen Zeichenkurs mit Bravour bestanden.	4144
4143	Wir sind hier nicht beim Männerfußball	4143
4142	Von R2-Einheiten muss ich immer kotzen	4142
4141	Ich könnte dir da ein paar wertvolle Tipps geben	4141
4140	Der funktioniert erst ab einem IQ von 130	4140
4139	Neue Männer braucht das Land	4139
4138	in Gegenwart von Kleinkindern zu rauchen.	4138
4137	Die Rahmen waren alle nur vorgetäuscht	4137
4136	Heil Ladig	4136
4135	Lademeister für Elektroscooter	4135
4134	Die Skroten	4134
4133	Lilith konnte ihren Baumhausaufzug stetig verbessern	4133
4132	Labyrinth für Patrioten	4132
4131	Das Entchen von Tharau	4131
4130	Zu stromlinienförmig	4130
4129	Eisberg voraus	4129
4128	wurde der Brexit erneut	4128
4127	Müllmann oder Heilpraktiker	4127
4126	Die Höhle der Löwen	4126
4125	Von wegen Bauchredner	4125
4124	Das Kind heißt Lene	4124
4123	Neunzehnhundertwas?	4123
4122	Spiderman uriniert	4122
4121	Vegetarier dank Wilke	4121
4120	Salami alike cum	4120
4119	Eine 3/4-Hose	4119
4118	Beethovens unbegonnene	4118
4117	Trump im Regen	4117
4116	den Kinderteller, Herr Berlusconi	4116
4115	Supergau-land	4115
4114	Made in China	4114
4113	Theonom	4113
4112	Jürgens Theologie-Praktikum	4112
4111	Hunde an der Spitze der Nahrungskette	4111
4110	Die schmecken alle wie Schimpanse	4110
4109	Ist die Wissenschaft am Ende?	4109
4108	ein Gipsabdruck des Partners	4108
4107	Ich lass dich trotzdem nicht ran.	4107
4106	Kommen wir nun zur Wahl des Elternsprechers	4106
4105	Die gewaltigen Superkräfte alter Männer	4105
4104	Liebe auf den ersten Blick	4104
4103	Die gewaltigen Superkräfte der Frauen	4103
4102	Nein, das blaue ist kein Schlumpfeis	4102
4101	Hast du dir die Titten machen lassen?	4101
4100	Datenschutzkonformer Merkzettel für Lehrer	4100
4099	Bitte nocht Sören	4099
4098	Boob die Baumeisterin	4098
4097	Von wegen Anti-haft-beschichtet	4097
4096	Menstruationsblut	4096
4095	E-Jesus	4095
4094	Knöpfe	4094
4093	Kanadische Goldrute.	4093
4092	Möchten Sie eine Bibel kaufen?	4092
4091	wünschte sich Michael seine Katze zurück.	4091
4090	Die geilste Frau Emdens	4090
4089	Die schrecklichen Folgen des Brexit	4089
4088	Bezahlen Sie die Borreliose-Behandlung bar?	4088
4087	Niedrigenergiehaus	4087
4086	Ich kann auch Kopfstand	4086
4085	Ich werde für euch beten	4085
4084	Vielleicht ist das mit dem Eierlikör ein Übersetzungsfehler.	4084
4083	Badelatschen mit Pelz	4083
4082	Was spricht denn gegen Solarstrom?	4082
4081	Woran denkst du gerade?	4081
4080	E-Scooter der Zukunft	4080
4079	Captain Marble	4079
4078	Säuglingsstation	4078
4077	Weltkulturerbe Klimawandel	4077
4076	Traurige Superhelden: Eidechsenman	4076
4075	Erstmals mehr Ventilatoren als Grills verkauft	4075
4074	Der Wagen ist aus den USA importiert.	4074
4073	Wie Lehrer die Jugend besser erreichen	4073
4072	Wie man einen Penis zeichnet	4072
4071	Der Typ ist Urologe	4071
4070	Zum Penisvergleich einen Landvermesser	4070
4069	Als Arnie noch die Schulbank drückte	4069
4068	Eine strahlende Zukunft	4068
4067	Nutzlose Superhelden: Erdman	4067
4066	Hast du dich wieder mit diesem Flittchen getroffen?	4066
4065	Ausgezeichnete Geschäfte mit alten Kochtöpfen	4065
4064	Gendergerechte Stellenangebote	4064
4063	Nützliche Franzosen	4063
4062	Sie würden in aller Öffentlichkeit Ihr Kind stillen	4062
4061	Herkömmliche Dartpfeile	4061
4060	Über die männlichen Fortpflanzungsorgane	4060
4059	Eine der beiden Zeichnungen ist sexistisch	4059
4058	Wir heizen jetzt mit Kerosin	4058
4057	Reißverschlusstattoo	4057
4056	Helmpflicht für Elektroscooterbenutzer	4056
4055	Möchten Sie mein Arschtattoo sehen?	4055
4054	Ich gehe mal für kleine Jungs	4054
4053	Letztens in Krailling	4053
4052	Wenn Erdkundelehrer feiern	4052
4051	Schnecken-Abscheider	4051
4050	Findest du, ich habe zugenommen?	4050
4049	Das Dilemma der Religionslehrerin	4049
4048	Exhibitionisten-Jesus	4048
4047	Wenn der Postillon in die Stadt kommt	4047
4046	Politisch korrekter Portraitzeichner	4046
4045	Veganer-Parkplatz	4045
4044	Liliths Baumhausaufzug	4044
4043	halten wir die Schweine aus Platzgründen senkrecht	4043
4042	Ratgeber international	4042
4041	Kraken sind Meister der Tarnung	4041
4040	Jeder Elternteil kann spuren lernen	4040
4039	Was habt ihr alle gegen Plastiktüten?	4039
4038	Wo ist denn mein Stabmixer?	4038
4037	Die Zeugen Jojobas	4037
4036	Handy mit Sprachausgabe	4036
4035	Ich kann mir doch eine Lesebrille kaufen.	4035
4034	Weil er bei 30 Grad einen Schal trägt	4034
4033	Eine sehr gute Makro-Kamera	4033
4032	Aufgrund des Frühlingswetters	4032
4031	Zum Morsen ein Faxgerät gekauft	4031
4030	Berufsspezifische Arbeitsunfälle, der Pfarrer	4030
4029	Sagt der Zwitter	4029
4028	Quantenphysik in der Alltagspraxis	4028
4027	Queef	4027
4026	Weil ihre Eltern Swinger waren	4026
4025	Wenigstens steht Notre Dame noch	4025
4024	Kamasutra für Profis	4024
4023	Monogaman	4023
4022	Weinlesen	4022
4021	Ich lass mir doch von einer Zahl nicht sagen	4021
4020	Mein Schwager konnte ganz fantastisch Drehorgel spielen	4020
4019	Windmill noise cancer awareness day	4019
4018	wie die Fracking-Technik unsere Umwelt fickt.	4018
4017	Wenn ich Freitags schon blaumache	4017
4016	Ein Flederwal	4016
4015	Morgenleiste	4015
4014	Onlinebuchhändler Facebook	4014
4013	Angst vor 16-jährigen Mädchen	4013
4012	Eine männliche Fee	4012
4011	Ich kann deine Alldays riechen	4011
4010	Die Verlockungen moderner Kommunikationstechnik	4010
4009	Bild enthält eine geheime Botschaft	4009
4008	Meilensteine der Technik	4008
4007	Unsere Nager	4007
4006	Alte Nonnenpornos	4006
4005	Wollte Motorradrennfahrer werden	4005
4004	Jonglierhamster	4004
4003	Der Cartoon, welcher jeden beleidigt	4003
4002	Fahrprüfung verbockt	4002
4001	Sehr schwere Depression	4001
4000	Selbsthilfegruppe der Cartoon-Opfer	4000
3999	Oh, ich liebe mein Apple iCar	3999
3998	Der Unterrock	3998
3997	Jetzt im Vollbildmodus	3997
3996	Frau Manhatmir-Insgehirngeschissen	3996
3995	Mein Mann fährt jetzt ein Hochrad	3995
3994	Staffelei für Aktzeichner	3994
3993	Ich habe einen geschwollenen Fruchtknoten	3993
3992	Schießburger	3992
3991	Könnten Sie mich so wie in Titanic zeichnen?	3991
3990	Das erste Cartoon-Hörbuch	3990
3989	Wegen Trunkenheit am Steuer	3989
3988	Herzensbrecher haben es auch nicht leicht.	3988
3987	Ich kann Sie ganz schlecht hören	3987
3986	Fassung als Pop Up-Buch	3986
3985	Im Sommer, im Winter	3985
3984	Selfie nach Unfall	3984
3983	Schwangerschaftsabbrüche mache ich nicht.	3983
3982	Illustration aus dem Kamasutra für Kinder	3982
3981	Notfall-Globuli	3981
3980	Traumberuf Fernsehbäcker	3980
3979	Dicke im wilden Westen	3979
3978	der sich auf ein Lego gekniet hat.	3978
3977	Damit sich niemand mehr diskriminiert fühlt	3977
3976	Blöde Nasentattoos	3976
3975	Ich trage ja auch unsinnig große Schuhe	3975
3974	Damit wir nicht mit Euch reden müssen	3974
3973	Selfie-Model	3973
3972	Geht das auch schneller?	3972
3971	Und ich Arsch bin Pilot	3971
3970	Und wie genau bricht man deutsche Patrioten auf?	3970
3969	Warum stellen wir eigentlich keine Krummsäbel her?	3969
3968	Kantholz	3968
3967	die Nudeln doppelt so lange gekocht	3967
3966	Cartoonrebellen	3966
3965	wenn auch Frauen Auto fahren.	3965
3964	Das Implantat war eine ziemlich gute Entscheidung	3964
3963	Studiengang Youtuber	3963
3962	Ich wäre ja jetzt 60	3962
3961	Kannst fahren, ist frei	3961
3960	Haben Schröders einen neuen Toaster?	3960
3959	in der Zukunft schwebende Autos	3959
3958	Führen Sie Smart Pants?	3958
3957	Topf-Figur	3957
3956	Beim Heilpraktiker	3956
3955	Als Ornithologe	3955
3954	God saves the Queen	3954
3953	Den Rubik-Würfel lösen	3953
3952	Der neue James Bond	3952
3951	Malermeister Schmitts Tochter	3951
3950	Machen Tattoos sexy?	3950
3949	Das Hörbuch Zaubersprüche des Mittelalters	3949
3948	Ein Rudel Löwen zum Christentum bekehren	3948
3947	Der Uhu	3947
3946	hin und wieder beichten.	3946
3945	Wirf doch nicht den Stiel weg	3945
3944	Eine geheime zweite Identität als Vollidiot	3944
3943	Die können mich mal	3943
3942	Abgelenkt durch ein Plakat	3942
3941	Gruselgeschichten für Mädchen	3941
3940	Spalt	3940
3939	Wenn und ohne aber	3939
3938	Es gibt Menschen, die haben nicht mal ein leeres Blatt	3938
3937	Aus dem Liebesleben der Postboten	3937
3936	Young Shelton	3936
3935	Vor 50 Jahren war alles viel besser	3935
3934	Was für ein Idiot.	3934
3933	240 Türchen	3933
3932	Die Glaublichen	3932
3931	Erhöhte Strahlungsbelastung durch Honigkuchenpferde	3931
3930	weil er sie zum Lachen bringt.	3930
3929	Wenn Sie Ihre Mädchenstimme kompensieren möchten	3929
3928	Annie Schrödingers Muschi	3928
3927	dass der Autofahrer tatsächlich angehalten hatte.	3927
3926	einen eigenen Geburtskanal	3926
3925	Peniswitzgala	3925
3924	Zwei Phasen der außerehelichen Beziehung	3924
3923	Bitte kein Body Shaming	3923
3922	Keine Homophobie in unserem Haus	3922
3921	Heute Elternabend	3921
3920	Wie oft sagten Sie haben Sie Geschlechtsverkehr?	3920
3919	Mein Sohn ist jetzt auch im nationalsozialistischen Untergrund	3919
3918	Wo ist sie denn hin?	3918
3917	Wir schreddern keine Küken mehr.	3917
3916	Fick-mich-Stiefel	3916
3915	Jürgens Life-Coach	3915
3914	Eilige Potenzmittel	3914
3913	Forstbesitzer	3913
3912	Probier mich aus	3912
3911	Supermarkt oder Discounter?	3911
3910	Dieser Cartoon ist völlig geschmacklos	3910
3909	wurden dem Dodo am Ende zum Verhängnis.	3909
3908	Der Borderline-Collie	3908
3907	Sie müssen Ihre Blöße mit einem Sturmgewehr bedecken.	3907
3906	Laufband zum WC	3906
3905	Ich war Messdiener	3905
3904	Badeeimer	3904
3903	Treffe ich mich mit meiner zukünftigen Freundin.	3903
3902	Loser-Eltern	3902
3901	Muuuuuh	3901
3900	Bello besteht die mündliche Spürhundprüfung	3900
3899	Der Abdul isst natürlich kein Schweinefleisch.	3899
3898	Möchten Sie mit mir schlafen?	3898
3897	Sexistische Kackschürze	3897
3896	Er kann schon die Buchstaben A, B, X und Y	3896
3895	Ich bin jetzt auch total gegen Sexismus	3895
3894	Dein schlimmster Alptraum	3894
3893	Wie gut, dass ich nicht lesen kann	3893
3892	Wo ist denn meine Menstruationstasse hin?	3892
3891	Verhüten mit Globuli	3891
3890	Tür zu, es strömt	3890
3889	Spannerfotos	3889
3888	General Ghosting	3888
3887	Mon Dieu - ein Manneimer	3887
3886	Ärger mit der Peta	3886
3885	So was?	3885
3884	Warum reiben Sie Ihre Kinder mit Scheiße ein?	3884
3883	Kinder können nur zu Siegertypen reifen, wenn	3883
3882	Sie müssen das Laub erst trocknen	3882
3881	Die ersten wirksamen Penisvergrößerungspillen	3881
3880	Eine erstaunliche Vielzahl an Kopulationspositionen	3880
3879	Scheiß Reetdach	3879
3878	Die Preisfrage falsch beantwortet	3878
3877	Marienkäferman	3877
3876	Hören Sie gefälligst auf, mir in den Aufschnitt zu starren	3876
3875	Finden Sie diesen Cartoon nicht auch total sexistisch?	3875
3874	Wenn Schiedsrichter in die Hölle kommen	3874
3873	Ungeeignete Zimmerpflanzen	3873
3872	Stand up paddling Comedian	3872
3871	Haben Sie das auch im Querformat?	3871
3870	Sein erstes Eigentor	3870
3869	dass ständig diese Drohne ums Haus kreist	3869
3868	Alexa Elektroporn	3868
3867	Mehr Cartoons über Frauen am Steuer	3867
3866	Wir sind Gurtgegner	3866
3865	Du hast an unseren Jahrestag gedacht	3865
3864	Was man als Fan jetzt tun kann.	3864
3863	weil du dich freiwillig entschlossen hast, ein dummes Arschloch zu sein	3863
3862	Nein, das ist auch kein Herz	3862
3861	Die Welt aus Sicht von Markus Söder	3861
3860	Macht Videospielen dumm?	3860
3859	Der Kanake hat mir die Vorfahrt genommen	3859
3858	Ich lüfte nur kurz durch	3858
3857	In jedem Raum ein Echo Show	3857
3856	Jürgens erstes Dick Pic	3856
3855	Die beliebtesten Werbespots	3855
3854	Hendl with Kehr	3854
3853	Reiligion trifft Wissenschaft	3853
3852	Einladung zur Zwinger-Party	3852
3851	Der von der Lippe trägt ja auch privat ein Hawaiihemd	3851
3850	Zum pädophilen Veganer	3850
3849	Nehmen Sie auch Bitchcoins?	3849
3848	Handgranaten setzen wir nur im äußersten Notfall ein.	3848
3847	Neigungskurs	3847
3846	Innendekoration	3846
3845	Politur	3845
3844	Ihr Mann hat Lattenrost.	3844
3843	Pluto ist todunglücklich	3843
3842	Der Stabmixer ist das Motorrad der Hausfrau	3842
3841	Du verstehst halt nichts von Mode	3841
3840	Gäbe es schon Flugtaxis	3840
3839	Also ich filme immer im Hochformat	3839
3838	Das Wunschkennzeichen AH 88	3838
3837	Das Symbol unserer Kultur	3837
3836	Da wohnt Til Mette	3836
3835	Vielleicht ist der ja das Alphatier	3835
3834	Wenn autonome Autos Fahrerflucht begehen	3834
